stopID,trip,count,blanks
1544,350709,1,
1553,350709,2,
1565,350102,1,
1570,350205,1,
1570,350608,1,
1570,350709,1,
1570,350412,1,
1651,350709,1,
1652,350102,1,
1652,350907,1,
1652,350608,1,
1664,350102,4,
1664,350801,1,
1664,350903,1,
1664,350209,2,
1664,350608,2,
1664,350709,2,
1664,350213,2,
1664,350215,1,
1666,350102,2,
1666,350404,3,
1666,350903,3,
1666,350209,1,
1666,350907,4,
1666,350412,2,
1678,350205,1,
1678,350705,1,
1678, ,1,
1713,350907,1,
1713,350608,3,
1713,350412,3,
1713,350215,1,
1734,350215,1,
1740,350205,1,
1741,350604,1,
2288,350209,1,
2371,350102,1,
2371,350205,1,
2371,350404,1,
2371,350604,1,
2371,350408,1,
2371,350608,1,
2371,350213,2,
2515,350608,1,
2515,350709,3,
2515,350213,1,
2515,350412,2,
2515,350215,1,
2519,350604,5,
2519,350209,1,
2519,350408,1,
2519,350907,3,
2559,350801,1,
2559,350903,1,
2559,350705,1,
2559,350408,1,
2559,350907,1,
2559,350608,3,
2559,350709,2,
2624,350801,1,
2624,350404,3,
2624,350604,1,
2624,350209,1,
2624,350907,1,
2624,350608,2,
2624,350213,1,
2624,350412,1,
2633,350705,1,
2667,350404,4,
2667,350903,3,
2667,350705,1,
2667,350209,3,
2667,350408,1,
2667,350608,9,
2667,350709,2,
2667,350213,1,
2667,350412,2,
2667,350215,1,
2702,350102,7,
2702,350205,6,
2702,350705,7,
2702,350408,4,
2702,350907,18,
2702,350709,10,
2702,350213,7,
2702,350412,6,
2702,350215,5,
1467,350404,1,
1529,350907,1,
1529,350709,2,
1531,350408,2,
1531,350608,1,
1533,350404,1,
1535,350604,1,
1544,350903,1,
1553,350209,2,
1555,350408,1,
1565,350102,1,
1565,350801,1,
1649,350801,1,
1652,350408,1,
1652,350907,2,
1664,350102,3,
1664,350801,1,
1664,350205,1,
1664,350903,1,
1664,350705,2,
1664,350209,1,
1664,350907,3,
1664,350213,1,
1664,350215,1,
1666,350801,1,
1666,350709,1,
1678,350404,2,
1713,350801,1,
1713,350903,2,
1713,350705,4,
1713,350709,1,
1733,350404,2,
1734,350608,1,
1740,350709,1,
1743,350604,1,
1743,350709,1,
1892,350705,1,
1892,350907,1,
1892,350213,1,
2288,350205,1,
2288,350404,1,
2288,350709,1,
2371,350903,1,
2371,350705,1,
2371,350907,1,
2371,350213,1,
2371,350215,3,
2440,350209,13,
2515,350907,1,
2515,350213,1,
2515,350412,1,
2515,350215,1,
2519,350604,3,
2519,350705,1,
2559,350801,2,
2559,350907,1,
2559,350213,1,
2624,350205,1,
2624,350209,1,
2624,350907,2,
2624,350709,2,
2624,350213,1,
2624,350412,1,
2633,350709,1,
2667,350801,1,
2667,350205,1,
2667,350209,4,
2667,350408,1,
2667,350907,8,
2667,350709,3,
2667,350213,1,
2667,350412,1,
2667,350215,1,
2702,350102,4,
2702,350205,3,
2702,350404,5,
2702,350903,2,
2702,350408,7,
2702,350608,8,
2702,350709,1,
2702,350213,4,
2702,350412,6,
1531,350705,3,
1531,350408,2,
1531,350907,2,
1531,350608,1,
1535,350404,1,
1547,350102,2,
1557,350907,1,
1565,350102,1,
1565,350801,1,
1570, ,1,
1652,350102,1,
1652,350907,1,
1664,350102,2,
1664,350801,2,
1664,350404,2,
1664,350903,1,
1664,350604,3,
1664,350705,1,
1664,350408,1,
1664,350608,1,
1664,350709,2,
1666,350801,1,
1666,350604,1,
1741,350705,1,
1743,350709,1,
