stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,is_trans_ctr,at_trans_ctr,direction
1520R,1520,Hwy 1 & Davenport Ave (Cash Store),,37.010872,-122.194145,http://scmtd.com/stop/1520,0,0,1
1521R,1521,Hwy 1 & Coast Rd,,36.982559,-122.143456,http://scmtd.com/stop/1521,0,0,2
1527R,1527,Hwy 9 (#6519),,37.05563,-122.075081,http://scmtd.com/stop/1527,0,0,2
1529R,1529,Hwy 9 (Viking Cottages),,37.058273,-122.077408,http://scmtd.com/stop/1529,0,0,1
1530R,1530,Hwy 9 (SLV High School),,37.06131,-122.080154,http://scmtd.com/stop/1530,0,0,2
1531R,1531,Hwy 9 (SLV High School),,37.061214,-122.080193,http://scmtd.com/stop/1531,0,0,1
1532R,1532,Hwy 9 & El Solyo Heights Dr,,37.065662,-122.079758,http://scmtd.com/stop/1532,0,0,2
1533R,1533,Hwy 9 & El Solyo Heights Dr,,37.066677,-122.079704,http://scmtd.com/stop/1533,0,0,1
1534R,1534,Hwy 9 & Glen Lomond Ln,,37.069176,-122.083977,http://scmtd.com/stop/1534,0,0,2
1535R,1535,Hwy 9 & Sunnycroft Rd,,37.071644,-122.084068,http://scmtd.com/stop/1535,0,0,1
1536R,1536,Hwy 9 (Highlands Park),,37.079185,-122.083565,http://scmtd.com/stop/1536,0,0,2
1537R,1537,Hwy 9 (Highlands Park),,37.079517,-122.083397,http://scmtd.com/stop/1537,0,0,1
1538R,1538,Hwy 9 & Park Way,,37.080986,-122.084381,http://scmtd.com/stop/1538,0,0,2
1539R,1539,Hwy 9 & Shadowbrook Rd,,37.081261,-122.084435,http://scmtd.com/stop/1539,0,0,1
1541R,1541,Hwy 9 & Hillside Ave,,37.087681,-122.08873,http://scmtd.com/stop/1541,0,0,2
1542R,1542,Hwy 9 & Hillside Ave,,37.087646,-122.088585,http://scmtd.com/stop/1542,0,0,1
1543R,1543,Hwy 9 & Main,,37.089657,-122.089676,http://scmtd.com/stop/1543,0,0,2
1544R,1544,Hwy 9 & Main,,37.089844,-122.089813,http://scmtd.com/stop/1544,0,0,1
1547R,1547,Hwy 9 & Brown Gables Rd,,37.09296,-122.09626,http://scmtd.com/stop/1547,0,0,1
1548R,1548,Hwy 9 & California Dr,,37.09573,-122.09742,http://scmtd.com/stop/1548,0,0,2
1549R,1549,Hwy 9 & California Dr,,37.09549,-122.097122,http://scmtd.com/stop/1549,0,0,1
1550R,1550,Hwy 9 & Pike Rd,,37.099701,-122.100967,http://scmtd.com/stop/1550,0,0,2
1552R,1552,Hwy 9 & Western Ave,,37.105839,-122.105988,http://scmtd.com/stop/1552,0,0,2
1553R,1553,Hwy 9 & Larkspur,,37.106651,-122.10656,http://scmtd.com/stop/1553,0,0,1
1554R,1554,Hwy 9 & Clear Creek Rd,,37.107697,-122.109261,http://scmtd.com/stop/1554,0,0,2
1555R,1555,Hwy 9 & Pacific,,37.107861,-122.109627,http://scmtd.com/stop/1555,0,0,1
1556R,1556,Hwy 9 & Irwin Way,,37.111294,-122.11441,http://scmtd.com/stop/1556,0,0,2
1557R,1557,Hwy 9 & Irwin Way,,37.111439,-122.11422,http://scmtd.com/stop/1557,0,0,1
1558R,1558,Hwy 9 & River,,37.116161,-122.120453,http://scmtd.com/stop/1558,0,0,2
