VehicleId,VehicleName,DriverId,DriverFirstName,DriverLastName,RouteId,RouteName,PatternId,PatternName,StopId,StopName,StopNumber,Timepoint,TripId,TripName,RunId,RunName,BlockId,Arrive,Depart,DepartVariance,ScheduledDepart,Ons,Offs,ArrivalPassengers,VehicleCapacity,DeparturePassengers
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747813,Heller Dr (UCSC - Family Student Housing),2516,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:19:16 -07:00,05/12/2022 00:19:36 -07:00,276,05/12/2022 00:15:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747388,Heller Dr (UCSC - Oakes College),1505,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:20:00 -07:00,05/12/2022 00:20:28 -07:00,268,05/12/2022 00:16:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747726,Empire Grade (UCSC - Arboretum),2328,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:21:32 -07:00,05/12/2022 00:21:36 -07:00,216,05/12/2022 00:18:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747938,High (Tosca Terrace),2739,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:22:15 -07:00,05/12/2022 00:22:23 -07:00,203,05/12/2022 00:19:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747870,Western Dr & Meder,2659,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:23:15 -07:00,05/12/2022 00:23:35 -07:00,215,05/12/2022 00:20:00 -07:00,0,0,0,57,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747903,Santa Cruz Metro Center - Lane 1,2701,TRUE,3313277,155412,371863,1554,297967,05/12/2022 00:23:41 -07:00,05/12/2022 00:26:20 -07:00,80,05/12/2022 00:25:00 -07:00,0,0,0,39,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747871,Western Dr & Monarch Way,2660,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:24:11 -07:00,05/12/2022 00:24:19 -07:00,199,05/12/2022 00:21:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747872,Western Dr & Western Ct,2661,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:24:23 -07:00,05/12/2022 00:24:35 -07:00,215,05/12/2022 00:21:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747873,Western Dr & Cypress Park,2662,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:24:51 -07:00,05/12/2022 00:25:03 -07:00,183,05/12/2022 00:22:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747874,Western Dr & Flower,2663,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:25:15 -07:00,05/12/2022 00:25:23 -07:00,203,05/12/2022 00:22:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747846,Mission & Swift,2619,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:27:01 -07:00,05/12/2022 00:27:09 -07:00,189,05/12/2022 00:24:00 -07:00,0,0,0,57,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747438,Laurel & Center,1591,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:27:32 -07:00,05/12/2022 00:27:44 -07:00,104,05/12/2022 00:26:00 -07:00,0,0,0,39,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747443,Mission & Miramar Dr (Almar Shopping Ctr),1619,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:27:33 -07:00,05/12/2022 00:28:25 -07:00,205,05/12/2022 00:25:00 -07:00,0,0,0,57,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747930,Laurel & Blackburn,2731,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:28:16 -07:00,05/12/2022 00:28:28 -07:00,88,05/12/2022 00:27:00 -07:00,0,0,0,39,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747446,Mission & Palm (Palm Center),1623,TRUE,3313307,180216,371865,1802,297969,05/12/2022 00:28:53 -07:00,05/12/2022 00:29:01 -07:00,181,05/12/2022 00:26:00 -07:00,0,0,0,57,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747448,Mission & Trescony,1625,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:29:21 -07:00,05/12/2022 00:29:29 -07:00,149,05/12/2022 00:27:00 -07:00,0,0,0,57,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747450,Mission & Laurel,1630,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:29:32 -07:00,05/12/2022 00:29:44 -07:00,44,05/12/2022 00:29:00 -07:00,0,0,0,39,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747449,Mission & Laurel,1629,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:29:41 -07:00,05/12/2022 00:30:13 -07:00,133,05/12/2022 00:28:00 -07:00,0,0,0,57,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747447,Mission & Olive,1624,TRUE,3313277,155412,371863,1554,297967,05/12/2022 00:30:20 -07:00,05/12/2022 00:30:32 -07:00,-28,05/12/2022 00:31:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747444,Mission & Miramar Dr (Almar Shopping Ctr),1620,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:30:56 -07:00,05/12/2022 00:31:04 -07:00,4,05/12/2022 00:31:00 -07:00,0,0,0,39,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747437,Laurel & Blackburn,1590,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:31:05 -07:00,05/12/2022 00:31:17 -07:00,77,05/12/2022 00:30:00 -07:00,0,0,0,57,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747733,Mission & King,2342,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:31:20 -07:00,05/12/2022 00:31:28 -07:00,-32,05/12/2022 00:32:00 -07:00,0,0,0,39,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747825,Laurel & Chestnut,2572,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:31:21 -07:00,05/12/2022 00:31:53 -07:00,113,05/12/2022 00:30:00 -07:00,0,0,0,57,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747734,Western Dr & Beachview Ave,2344,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:32:20 -07:00,05/12/2022 00:32:36 -07:00,36,05/12/2022 00:32:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747609,Western Dr & Flower,1907,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:32:56 -07:00,05/12/2022 00:33:08 -07:00,68,05/12/2022 00:32:00 -07:00,0,0,0,39,0
5281,2333,15969,Operator,614,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747902,Santa Cruz Metro Center,2700,FALSE,3313307,180216,371865,1802,297969,05/12/2022 00:32:57 -07:00,05/12/2022 00:36:05 -07:00,245,05/12/2022 00:32:00 -07:00,0,0,0,57,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747754,Western Dr & Western Ct,2393,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:33:44 -07:00,05/12/2022 00:33:56 -07:00,56,05/12/2022 00:33:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747610,Western Dr & Monarch Way,1909,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:34:04 -07:00,05/12/2022 00:34:12 -07:00,72,05/12/2022 00:33:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747611,Western Dr & Meder,1910,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:34:40 -07:00,05/12/2022 00:34:52 -07:00,112,05/12/2022 00:33:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747390,High & Western Dr,1510,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:35:44 -07:00,05/12/2022 00:36:00 -07:00,120,05/12/2022 00:34:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747299,Bay & High (UCSC - Main Entrance),1341,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:36:36 -07:00,05/12/2022 00:36:52 -07:00,172,05/12/2022 00:34:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747300,Coolidge Dr & Hagar Ct  (UCSC - Lower Campus),1342,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:37:24 -07:00,05/12/2022 00:37:32 -07:00,152,05/12/2022 00:35:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747879,Hagar Dr & Village Rd (UCSC - The Farm),2669,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:38:16 -07:00,05/12/2022 00:38:20 -07:00,200,05/12/2022 00:35:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747387,Hagar Dr (UCSC - East Remote Parking),1501,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:39:00 -07:00,05/12/2022 00:39:08 -07:00,248,05/12/2022 00:35:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747634,Hagar Dr (UCSC - East Field House),2101,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:39:32 -07:00,05/12/2022 00:40:04 -07:00,244,05/12/2022 00:36:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747635,"Hagar Dr (UCSC - Bookstore, Cowell & Stevenson)",2102,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:40:28 -07:00,05/12/2022 00:41:36 -07:00,336,05/12/2022 00:36:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747442,McLaughlin Dr (UCSC - Crown & Merrill College),1617,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:41:44 -07:00,05/12/2022 00:42:24 -07:00,324,05/12/2022 00:37:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747441,McLaughlin Dr (UCSC - College 9 & 10 / Health Ctr),1616,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:43:00 -07:00,05/12/2022 00:43:36 -07:00,216,05/12/2022 00:40:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747440,McLaughlin Dr (UCSC - Science Hill),1615,TRUE,3313277,155412,371863,1554,297967,05/12/2022 00:44:12 -07:00,05/12/2022 00:44:28 -07:00,88,05/12/2022 00:43:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747389,Heller Dr & McLaughlin Dr (UCSC - Kresge College),1509,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:44:40 -07:00,05/12/2022 00:45:08 -07:00,128,05/12/2022 00:43:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747779,Heller Dr (UCSC - Rachel Carson College & Porter),2448,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:46:36 -07:00,05/12/2022 00:47:20 -07:00,140,05/12/2022 00:45:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747813,Heller Dr (UCSC - Family Student Housing),2516,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:47:32 -07:00,05/12/2022 00:48:08 -07:00,188,05/12/2022 00:45:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747388,Heller Dr (UCSC - Oakes College),1505,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:48:28 -07:00,05/12/2022 00:49:00 -07:00,180,05/12/2022 00:46:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747726,Empire Grade (UCSC - Arboretum),2328,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:50:02 -07:00,05/12/2022 00:50:10 -07:00,130,05/12/2022 00:48:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747938,High (Tosca Terrace),2739,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:50:42 -07:00,05/12/2022 00:51:10 -07:00,130,05/12/2022 00:49:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747870,Western Dr & Meder,2659,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:52:06 -07:00,05/12/2022 00:52:26 -07:00,146,05/12/2022 00:50:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747871,Western Dr & Monarch Way,2660,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:52:58 -07:00,05/12/2022 00:53:10 -07:00,130,05/12/2022 00:51:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747872,Western Dr & Western Ct,2661,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:53:14 -07:00,05/12/2022 00:53:26 -07:00,146,05/12/2022 00:51:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747873,Western Dr & Cypress Park,2662,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:53:46 -07:00,05/12/2022 00:53:58 -07:00,118,05/12/2022 00:52:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747874,Western Dr & Flower,2663,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:54:10 -07:00,05/12/2022 00:54:58 -07:00,178,05/12/2022 00:52:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747846,Mission & Swift,2619,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:56:33 -07:00,05/12/2022 00:56:53 -07:00,173,05/12/2022 00:54:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747443,Mission & Miramar Dr (Almar Shopping Ctr),1619,FALSE,3313277,155412,371863,1554,297967,05/12/2022 00:57:17 -07:00,05/12/2022 00:57:33 -07:00,153,05/12/2022 00:55:00 -07:00,0,0,0,39,0
5256,2810,16024,Operator,530,5337,18 - UCSC via Main Gate - Mission,16773,18-00-1-UCSC via Mission,4747446,Mission & Palm (Palm Center),1623,TRUE,3313277,155412,371863,1554,297967,05/12/2022 00:57:57 -07:00,05/12/2022 00:58:09 -07:00,129,05/12/2022 00:56:00 -07:00,0,0,0,39,0
